250,-124,-1964,16844,3 
251,-156,-1964,16888,3 
252,-36,-1648,17268,3 
253,-108,-1420,17652,3 
254,-452,-1104,17468,3 
255,-188,-896,17428,3 
256,-456,-904,17636,3 
257,-252,-1184,17252,3 
258,-40,-1316,17132,3 
259,-244,-1972,17064,3 
260,-152,-2264,17104,3 
261,-32,-2888,17312,3 
262,-104,-3796,16816,3 
263,160,-4256,16648,3 
264,24,-4848,16396,3 
265,-16,-5708,16344,3 
266,-12,-6248,15848,3 
267,-272,-6828,15684,3 
268,-128,-6680,16028,3 
269,-16,-6640,16332,3 
270,-12,-6440,16440,3 
271,220,-6324,16888,3 
272,500,-6376,17212,3 
273,364,-5832,17012,3 
274,452,-5576,17344,3 
275,284,-5296,17408,3 
276,488,-5256,17360,3 
277,704,-5228,17608,3 
278,764,-4948,17460,3 
279,620,-4876,17476,3 
280,696,-4768,17604,3 
281,296,-5236,17332,3 
282,632,-5572,17016,3 
283,692,-5796,17172,3 
284,700,-5812,17288,3 
285,664,-5840,17144,3 
286,732,-5816,16948,3 
287,504,-5788,17060,3 
288,620,-5880,17120,3 
289,552,-5824,16752,3 
290,328,-6600,15928,3 
291,396,-7456,15348,3 
292,488,-8268,14492,3 
293,236,-8480,14056,3 
294,-276,-9440,13536,3 
295,-256,-9784,13480,3 
296,-208,-9984,13508,3 
297,132,-9880,13912,3 
298,192,-9936,14392,3 
299,424,-9952,15084,3 
300,624,-9568,15484,3 
301,640,-9368,15796,3 
302,752,-9032,15700,3 
303,748,-8896,15476,3 
304,888,-8760,15160,3 
305,708,-8920,15036,3 
306,760,-8916,14716,3 
307,908,-8624,14348,3 
308,976,-8592,14004,3 
309,888,-8464,14004,3 
310,1244,-8440,13648,3 
311,908,-8324,13308,3 
312,792,-8668,13116,3 
313,664,-9140,12656,3 
314,540,-9772,12184,3 
315,548,-10580,11916,3 
316,692,-11460,11488,3 
317,452,-12164,11180,3 
318,352,-12472,11068,3 
319,476,-12652,11244,3 
320,636,-12656,11136,3 
321,776,-13028,11008,3 
322,740,-13188,11500,3 
323,820,-13132,11756,3 
324,784,-13104,11464,3 
325,992,-12944,11448,3 
326,1112,-12772,11504,3 
327,1140,-12708,11396,3 
